Equipo,GolesF,GolesC,DG,Puntos,W,D,L,GolesMT_F,GolesMT_C,TirosF,TirosC,TirosPF,TirosPC,Fouls_Prov,Fouls_Rec,Corners_Fav,Corners_Con,TA_Prov,TA_Rec,TR_Prov,TR_Rec
Angers,42,52,-10,41,9,14,15,17,27,463,418,156,143,491,463,169,174,71,86,3,7
Caen,27,52,-25,38,10,8,20,11,24,456,436,128,152,522,456,202,182,68,73,4,2
Lille,41,67,-26,38,10,8,20,15,36,428,513,142,194,479,449,171,184,60,72,6,2
Strasbourg,44,67,-23,38,9,11,18,18,26,451,459,136,177,520,462,183,180,71,81,4,4
Toulouse,38,54,-16,37,9,10,19,18,22,434,472,147,163,587,515,178,183,93,78,3,9
Troyes,32,59,-27,33,9,6,23,13,19,360,542,123,198,496,416,165,216,76,52,7,5
Metz,34,76,-42,26,6,8,24,14,35,428,543,161,210,531,459,173,198,80,56,7,6
Man City,106,27,79,100,32,4,2,45,12,664,238,261,87,344,366,284,103,58,76,2,3
Man United,68,28,40,81,25,6,7,29,14,513,436,181,146,404,435,220,175,64,68,1,1
Tottenham,74,36,38,77,23,8,7,27,17,622,355,217,126,384,407,246,160,49,75,2,1
Liverpool,84,38,46,75,21,12,5,35,17,640,282,233,103,344,324,230,126,44,49,1,0
Chelsea,62,38,24,70,21,7,10,30,13,606,377,220,120,363,417,230,159,41,73,4,1
Arsenal,74,51,23,63,19,6,13,30,21,591,422,233,148,383,389,223,179,57,48,2,4
Burnley,36,39,-3,54,14,12,12,16,12,379,562,127,164,350,441,167,240,65,43,0,6
Everton,44,58,-14,49,13,10,15,15,25,360,542,122,183,459,383,150,212,51,46,3,5
Leicester,56,60,-4,47,12,11,15,26,26,422,490,148,168,365,367,203,216,52,52,5,1
